\U0001F6C4 baggage baggage
\U0001F6B8 crossing crossing
\U0001F6AB wrong prohibited
\U0001F503 clockwise rotation
\U0001F504 counterclockwise counterclockwise
\U0001F519 BACK backwards
\U0001F51A END ends
\U0001F51B ON on
\U0001F51C SOON soon
\U0001F51D TOP tops
\U0001F6D0 church worship
\U0001F549 om om
\U0001F54E menorah menorah
\U0001F52F jewish jewish
\U0001F500 shuffle shuffling
\U0001F501 repeat repeats
\U0001F53C upwards upward
\U0001F53D downwards downward
\U0001F3A6 cinema cinemas
\U0001F505 dims dim
\U0001F506 brights bright
\U0001F4F6 antenna service
\U0001F4F3 vibrate vibration
\U0001F531 trident emblem
\U0001F51F ten 10
\U0001F4AF hundred 100
\U0001F520 uppercase uppercases
\U0001F521 lowercases lowercase
\U0001F522 number numbers
\U0001F523 symbol symbols
\U0001F53A triangle triangles
\U0001F534 circles circle
\U0001F3C1 chequered flag
\U0001F3F3 surrender surrenders
